,area_type,availability,location,total_sqft,bath,price,price_per_sqft,bhk
130,4,2,7th Phase JP Nagar,1070,2,42.79,3999.0654205607475,2
131,4,2,7th Phase JP Nagar,1190,2,49.98,4200.0,2
132,4,2,7th Phase JP Nagar,1420,2,96.0,6760.56338028169,3
133,4,2,7th Phase JP Nagar,1680,3,120.0,7142.857142857143,3
134,4,2,7th Phase JP Nagar,1050,2,42.0,4000.0,2
135,4,2,7th Phase JP Nagar,980,2,69.0,7040.816326530612,2
136,4,2,7th Phase JP Nagar,1035,2,41.39,3999.0338164251207,2
137,4,2,7th Phase JP Nagar,1370,2,56.17,4100.0,2
138,4,2,7th Phase JP Nagar,1180,2,72.0,6101.6949152542375,2
139,3,2,7th Phase JP Nagar,5080,7,450.0,8858.267716535433,6
144,3,2,7th Phase JP Nagar,1400,3,115.0,8214.285714285714,3
145,4,2,7th Phase JP Nagar,1075,2,42.99,3999.0697674418607,2
146,4,2,7th Phase JP Nagar,1100,2,44.0,4000.0,2
147,4,2,7th Phase JP Nagar,1270,2,83.0,6535.433070866142,2
149,4,1,7th Phase JP Nagar,2503,4,188.0,7510.986815821015,4
150,4,2,7th Phase JP Nagar,2200,3,190.0,8636.363636363636,3
152,4,2,7th Phase JP Nagar,1050,2,42.0,4000.0,2
154,4,2,7th Phase JP Nagar,1575,2,110.0,6984.126984126984,3
155,4,2,7th Phase JP Nagar,1850,3,140.0,7567.5675675675675,3
159,3,2,7th Phase JP Nagar,1575,2,120.0,7619.047619047619,3
160,4,2,7th Phase JP Nagar,1850,3,150.0,8108.108108108108,3
161,4,2,7th Phase JP Nagar,1680,3,120.0,7142.857142857143,3
162,4,2,7th Phase JP Nagar,1175,2,82.5,7021.276595744681,2
165,4,2,7th Phase JP Nagar,1215,2,90.0,7407.407407407408,2
166,4,2,7th Phase JP Nagar,1050,2,75.0,7142.857142857143,2
167,4,2,7th Phase JP Nagar,1300,3,89.13,6856.153846153846,3
168,4,2,7th Phase JP Nagar,1130,2,73.0,6460.1769911504425,2
169,4,2,7th Phase JP Nagar,1450,3,100.0,6896.551724137931,3
171,4,2,7th Phase JP Nagar,1050,2,50.0,4761.9047619047615,2
172,4,2,7th Phase JP Nagar,1275,2,87.0,6823.529411764706,2
174,4,2,7th Phase JP Nagar,1650,3,110.0,6666.666666666667,3
175,3,2,7th Phase JP Nagar,850,2,42.0,4941.176470588235,2
176,3,2,7th Phase JP Nagar,1680,3,117.0,6964.285714285715,3
177,4,2,7th Phase JP Nagar,1850,3,150.0,8108.108108108108,3
178,4,2,7th Phase JP Nagar,1236,2,61.33,4961.974110032363,2
179,4,2,7th Phase JP Nagar,1000,2,53.0,5300.0,2
180,4,2,7th Phase JP Nagar,1680,3,125.0,7440.476190476191,3
181,4,2,7th Phase JP Nagar,1675,2,135.0,8059.701492537313,3
182,4,1,7th Phase JP Nagar,1187,2,59.0,4970.513900589722,2
183,4,2,7th Phase JP Nagar,1850,3,155.0,8378.378378378378,3
184,3,2,7th Phase JP Nagar,1000,2,61.0,6100.0,2
185,4,2,7th Phase JP Nagar,1460,2,100.0,6849.315068493151,3
186,4,2,7th Phase JP Nagar,1650,3,110.0,6666.666666666667,3
187,4,2,7th Phase JP Nagar,1200,2,62.5,5208.333333333333,2
188,4,2,7th Phase JP Nagar,1000,2,70.65,7065.000000000001,2
189,4,1,7th Phase JP Nagar,1070,2,42.0,3925.233644859813,2
190,4,2,7th Phase JP Nagar,1080,2,75.0,6944.444444444444,2
192,4,2,7th Phase JP Nagar,1680,3,125.0,7440.476190476191,3
193,4,2,7th Phase JP Nagar,1040,2,41.59,3999.038461538462,2
194,4,2,7th Phase JP Nagar,1100,2,44.0,4000.0,2
195,4,2,7th Phase JP Nagar,1460,2,97.0,6643.835616438356,3
196,3,2,7th Phase JP Nagar,1120,2,65.0,5803.571428571428,2
197,4,2,7th Phase JP Nagar,1100,3,60.0,5454.545454545455,2
198,4,2,7th Phase JP Nagar,1790,3,120.0,6703.91061452514,3
199,4,2,7th Phase JP Nagar,1680,3,117.0,6964.285714285715,3
200,4,2,7th Phase JP Nagar,1050,2,77.0,7333.333333333333,2
201,4,2,7th Phase JP Nagar,1174,2,47.0,4003.4071550255535,2
202,4,2,7th Phase JP Nagar,1050,2,75.0,7142.857142857143,2
203,4,2,7th Phase JP Nagar,1040,2,75.0,7211.538461538462,2
204,4,2,7th Phase JP Nagar,1400,2,95.0,6785.714285714285,3
205,4,2,7th Phase JP Nagar,1800,3,130.0,7222.222222222223,3
206,4,2,7th Phase JP Nagar,1050,2,68.0,6476.190476190476,2
208,3,2,7th Phase JP Nagar,1000,2,60.0,6000.0,2
209,4,2,7th Phase JP Nagar,1680,3,125.0,7440.476190476191,3
210,4,2,7th Phase JP Nagar,980,2,86.0,8775.510204081633,2
212,4,2,7th Phase JP Nagar,1050,2,77.47,7378.0952380952385,2
213,4,2,7th Phase JP Nagar,1270,2,80.0,6299.212598425197,2
215,4,2,7th Phase JP Nagar,1680,3,122.0,7261.9047619047615,3
216,4,2,7th Phase JP Nagar,1070,2,42.79,3999.0654205607475,2
217,4,2,7th Phase JP Nagar,1130,2,85.0,7522.123893805309,2
218,4,2,7th Phase JP Nagar,1680,3,130.0,7738.0952380952385,3
220,3,2,7th Phase JP Nagar,2980,4,260.0,8724.832214765102,3
221,3,2,7th Phase JP Nagar,980,2,77.44,7902.040816326531,2
222,4,2,7th Phase JP Nagar,1680,3,112.0,6666.666666666667,3
224,4,2,7th Phase JP Nagar,2095,3,150.0,7159.904534606205,3
226,4,1,7th Phase JP Nagar,1976,3,145.0,7338.056680161943,3
227,4,2,7th Phase JP Nagar,1600,2,110.0,6875.0,3
228,4,2,7th Phase JP Nagar,1765,3,118.0,6685.552407932011,3
229,3,2,7th Phase JP Nagar,1275,2,88.0,6901.9607843137255,3
230,4,2,7th Phase JP Nagar,1450,2,102.0,7034.482758620689,3
231,4,2,7th Phase JP Nagar,1575,2,110.0,6984.126984126984,3
233,4,2,7th Phase JP Nagar,750,1,47.0,6266.666666666667,1
234,4,2,7th Phase JP Nagar,1050,2,42.0,4000.0,2
235,4,2,7th Phase JP Nagar,990,2,50.0,5050.50505050505,2
236,1,2,7th Phase JP Nagar,1000,1,60.0,6000.0,1
238,4,2,7th Phase JP Nagar,1100,2,44.0,4000.0,2
239,4,2,7th Phase JP Nagar,1430,2,102.0,7132.867132867133,3
240,4,2,7th Phase JP Nagar,1128,2,60.0,5319.148936170212,2
241,4,2,7th Phase JP Nagar,2100,3,190.0,9047.619047619048,3
242,3,2,7th Phase JP Nagar,1140,2,57.0,5000.0,2
243,4,2,7th Phase JP Nagar,1420,3,90.0,6338.028169014085,3
244,4,2,7th Phase JP Nagar,1530,2,108.0,7058.823529411765,2
245,4,1,8th Phase JP Nagar,1073,2,54.005,5030.740568234746,2
246,4,1,8th Phase JP Nagar,451,1,29.9,6629.711751662971,1
248,4,2,8th Phase JP Nagar,1062,2,42.47,3999.0583804143125,2
250,4,1,8th Phase JP Nagar,1455,3,73.31,5038.487972508591,3
251,4,2,8th Phase JP Nagar,871,2,55.0,6314.580941446613,2
252,4,2,8th Phase JP Nagar,1098,2,43.91,3999.089253187614,2
253,4,2,8th Phase JP Nagar,1800,3,80.0,4444.444444444444,3
254,3,2,8th Phase JP Nagar,2700,4,130.0,4814.814814814815,4
255,4,1,8th Phase JP Nagar,1080,2,38.0,3518.5185185185187,2
256,4,1,8th Phase JP Nagar,1059,2,34.5,3257.790368271955,2
257,4,1,8th Phase JP Nagar,1080,2,35.0,3240.740740740741,2
259,4,2,8th Phase JP Nagar,1062,2,42.47,3999.0583804143125,2
260,4,1,8th Phase JP Nagar,500,1,31.0,6200.0,1
261,4,1,8th Phase JP Nagar,1100,2,35.0,3181.818181818182,2
262,4,2,8th Phase JP Nagar,2100,4,92.0,4380.952380952381,4
263,4,2,8th Phase JP Nagar,1035,2,39.33,3800.0,2
264,4,2,8th Phase JP Nagar,909,2,40.9,4499.4499449945,2
265,4,1,8th Phase JP Nagar,1431,3,72.02,5031.086273140063,3
266,3,2,8th Phase JP Nagar,1900,4,90.0,4736.8421052631575,3
267,4,1,8th Phase JP Nagar,500,1,30.0,6000.0,1
268,4,1,8th Phase JP Nagar,1125,2,36.94,3283.5555555555557,2
269,4,2,8th Phase JP Nagar,1200,3,110.0,9166.666666666666,4
270,4,2,8th Phase JP Nagar,1100,2,35.0,3181.818181818182,2
271,4,2,8th Phase JP Nagar,1089,2,43.55,3999.0817263544536,2
273,4,2,8th Phase JP Nagar,1504,2,83.0,5518.617021276596,3
274,3,2,8th Phase JP Nagar,2600,4,115.0,4423.076923076923,4
276,4,2,8th Phase JP Nagar,1089,2,43.55,3999.0817263544536,2
278,4,2,8th Phase JP Nagar,1513,2,62.0,4097.818902842036,2
279,3,2,8th Phase JP Nagar,1298,2,59.0,4545.454545454545,2
280,3,2,8th Phase JP Nagar,1006,2,44.0,4373.75745526839,2
281,2,1,8th Phase JP Nagar,500,1,33.0,6600.0,1
282,4,2,8th Phase JP Nagar,1160,2,95.0,8189.6551724137935,2
283,4,1,8th Phase JP Nagar,1245,2,59.0,4738.955823293173,2
284,4,2,8th Phase JP Nagar,1510,2,80.0,5298.013245033113,2
285,4,2,8th Phase JP Nagar,3300,3,165.0,5000.0,3
286,3,2,8th Phase JP Nagar,1730,5,75.0,4335.260115606937,5
289,4,1,8th Phase JP Nagar,1046,2,48.0,4588.910133843212,2
291,4,1,8th Phase JP Nagar,1408,3,80.0,5681.818181818182,3
293,4,2,9th Phase JP Nagar,1005,2,50.0,4975.124378109453,2
295,4,1,9th Phase JP Nagar,1100,2,65.0,5909.090909090909,2
296,4,1,9th Phase JP Nagar,1080,2,37.0,3425.925925925926,2
297,3,2,9th Phase JP Nagar,1035,2,45.0,4347.826086956522,2
298,3,2,9th Phase JP Nagar,5000,4,290.0,5800.0,4
299,3,2,9th Phase JP Nagar,1164,2,56.0,4810.996563573884,2
300,4,2,9th Phase JP Nagar,1005,2,42.0,4179.104477611941,2
301,3,2,9th Phase JP Nagar,3500,4,300.0,8571.42857142857,4
302,4,1,9th Phase JP Nagar,1127,2,50.0,4436.557231588287,2
303,4,2,9th Phase JP Nagar,1005,2,43.0,4278.606965174129,2
304,3,2,9th Phase JP Nagar,835,2,37.0,4431.137724550898,2
305,4,1,9th Phase JP Nagar,1050,2,39.0,3714.285714285714,2
306,4,2,9th Phase JP Nagar,660,2,27.0,4090.909090909091,2
307,3,2,9th Phase JP Nagar,600,1,20.0,3333.3333333333335,1
308,4,1,9th Phase JP Nagar,1466,2,71.0,4843.110504774898,2
309,3,2,9th Phase JP Nagar,1890,2,93.0,4920.6349206349205,3
310,4,1,9th Phase JP Nagar,1079,2,60.0,5560.704355885079,2
311,4,1,9th Phase JP Nagar,1480,2,80.0,5405.405405405405,2
312,1,2,9th Phase JP Nagar,1200,2,80.0,6666.666666666667,2
313,4,2,9th Phase JP Nagar,905,2,32.0,3535.9116022099447,2
314,4,1,9th Phase JP Nagar,1073,2,52.36,4879.77632805219,2
315,4,2,9th Phase JP Nagar,1719,2,88.0,5118.362124120282,3
316,4,1,9th Phase JP Nagar,1780,3,88.0,4943.820224719101,3
318,4,1,9th Phase JP Nagar,1522,3,90.0,5913.272010512484,3
321,3,2,9th Phase JP Nagar,890,2,45.0,5056.179775280899,2
323,3,2,9th Phase JP Nagar,5000,4,300.0,6000.0,4
325,4,1,9th Phase JP Nagar,1050,2,35.0,3333.3333333333335,2
326,4,2,9th Phase JP Nagar,1331,2,69.0,5180.374638687638,2
327,4,2,AECS Layout,1100,2,45.0,4090.909090909091,2
328,4,2,AECS Layout,1028,2,42.0,4085.603112840467,2
329,4,2,AECS Layout,1199,2,65.0,5421.184320266889,2
330,4,2,AECS Layout,1080,2,55.0,5092.592592592592,2
331,4,2,AECS Layout,1123,2,64.0,5699.020480854853,2
332,4,2,AECS Layout,1308,2,60.0,4587.155963302752,2
333,4,2,AECS Layout,1005,2,55.0,5472.636815920398,2
335,4,2,Abbigere,985,2,40.39,4100.507614213198,2
336,3,2,Abbigere,2200,6,68.0,3090.909090909091,6
337,4,2,Abbigere,765,2,30.0,3921.5686274509803,1
338,4,1,Abbigere,880,2,35.0,3977.2727272727275,2
339,4,2,Abbigere,795,2,32.54,4093.0817610062895,2
340,4,2,Abbigere,1005,2,39.59,3939.303482587065,2
341,4,1,Abbigere,734,1,19.82,2700.272479564033,1
343,4,2,Abbigere,1020,2,41.82,4100.0,2
344,4,2,Abbigere,985,2,40.39,4100.507614213198,2
345,3,2,Abbigere,2500,6,81.0,3240.0,6
346,4,2,Abbigere,795,2,32.54,4093.0817610062895,2
347,4,2,Abbigere,1130,2,46.33,4100.0,2
348,4,2,Abbigere,795,1,32.6,4100.62893081761,2
349,3,2,Abbigere,3000,8,150.0,5000.0,8
350,4,2,Abbigere,985,2,38.92,3951.269035532995,2
351,4,2,Abbigere,1000,2,41.0,4100.0,2
352,4,2,Abbigere,995,2,40.8,4100.5025125628135,2
353,4,2,Abbigere,1020,2,40.8,3999.9999999999995,2
354,4,2,Akshaya Nagar,1388,2,57.0,4106.628242074928,2
355,4,2,Akshaya Nagar,1070,2,54.0,5046.728971962617,2
356,3,2,Akshaya Nagar,1280,2,58.0,4531.25,2
357,3,2,Akshaya Nagar,1662,3,85.1,5120.336943441636,3
358,4,2,Akshaya Nagar,1897,3,120.0,6325.77754348972,3
359,4,2,Akshaya Nagar,1410,2,75.0,5319.148936170212,3
360,4,1,Akshaya Nagar,1360,2,85.0,6250.0,3
362,4,2,Akshaya Nagar,1410,2,80.0,5673.758865248227,3
363,3,2,Akshaya Nagar,1662,3,85.0,5114.320096269555,3
364,1,2,Akshaya Nagar,1080,4,75.0,6944.444444444444,4
365,3,2,Akshaya Nagar,1662,3,85.5,5144.404332129964,3
366,3,2,Akshaya Nagar,1280,2,60.0,4687.5,2
367,3,2,Akshaya Nagar,1666,3,95.0,5702.280912364946,3
368,4,2,Akshaya Nagar,1575,3,90.0,5714.285714285715,3
369,4,2,Akshaya Nagar,1430,2,75.0,5244.755244755244,3
370,3,2,Akshaya Nagar,1419,2,73.0,5144.46793516561,3
371,4,2,Akshaya Nagar,1280,2,60.0,4687.5,2
372,4,2,Akshaya Nagar,1200,2,50.0,4166.666666666667,2
373,4,1,Akshaya Nagar,1092,2,60.0,5494.505494505494,2
374,4,2,Akshaya Nagar,1690,3,85.0,5029.585798816568,3
376,4,2,Akshaya Nagar,1897,4,93.0,4902.477596204533,3
377,4,2,Akshaya Nagar,1884,3,98.0,5201.698513800425,3
378,4,2,Akshaya Nagar,1314,2,68.8,5235.920852359209,2
379,4,2,Akshaya Nagar,1690,3,85.0,5029.585798816568,3
380,4,2,Akshaya Nagar,1265,2,67.0,5296.442687747036,2
381,4,2,Akshaya Nagar,1126,2,55.0,4884.547069271758,2
383,4,2,Akshaya Nagar,1662,3,90.0,5415.162454873646,3
384,4,2,Akshaya Nagar,1420,2,75.0,5281.69014084507,3
385,4,2,Akshaya Nagar,1412,2,88.0,6232.294617563739,3
386,3,2,Akshaya Nagar,1434,3,84.0,5857.740585774059,3
387,4,2,Akshaya Nagar,1890,4,100.0,5291.005291005291,3
389,4,2,Akshaya Nagar,1419,2,87.0,6131.0782241014795,3
390,4,2,Akshaya Nagar,1300,2,54.0,4153.846153846154,2
391,4,2,Akshaya Nagar,1690,3,85.0,5029.585798816568,3
392,4,2,Akshaya Nagar,1113,2,52.0,4672.057502246182,2
393,4,2,Akshaya Nagar,1820,4,95.0,5219.780219780219,3
394,4,2,Akshaya Nagar,1100,2,48.0,4363.636363636364,2
395,4,2,Akshaya Nagar,1896,3,102.0,5379.7468354430375,3
396,4,2,Akshaya Nagar,1300,2,66.0,5076.923076923077,2
397,4,2,Akshaya Nagar,1225,2,68.0,5551.0204081632655,2
398,4,2,Akshaya Nagar,1179,2,51.0,4325.699745547074,2
399,4,2,Akshaya Nagar,1421,2,73.0,5137.227304714989,3
400,4,2,Akshaya Nagar,1893,4,95.0,5018.489170628632,3
401,3,2,Akshaya Nagar,900,2,45.0,5000.0,2
402,4,2,Ambalipura,1105,2,75.0,6787.330316742082,2
403,4,2,Ambalipura,1800,3,110.0,6111.111111111111,3
404,3,2,Ambalipura,1150,2,80.0,6956.521739130435,2
405,4,2,Ambalipura,1250,2,66.25,5300.0,2
406,4,2,Ambalipura,1332,2,79.0,5930.930930930931,2
407,4,2,Ambalipura,1730,3,120.0,6936.416184971098,3
409,4,2,Ambalipura,1230,2,66.25,5386.178861788618,2
410,4,2,Ambalipura,1351,2,77.0,5699.481865284974,2
414,4,2,Ambalipura,1303,2,80.0,6139.677666922486,2
415,4,2,Ambalipura,1607,2,112.0,6969.508400746733,3
416,4,2,Ambalipura,770,1,43.82,5690.909090909091,1
417,4,2,Ambalipura,1700,2,76.0,4470.588235294118,2
418,4,2,Ambalipura,1060,2,58.5,5518.867924528302,2
419,3,2,Ambalipura,1650,3,100.0,6060.606060606061,3
420,4,2,Ambalipura,1607,2,112.0,6969.508400746733,3
421,4,2,Ambalipura,1198,2,80.0,6677.79632721202,2
422,4,2,Ambedkar Nagar,1935,4,130.0,6718.3462532299745,3
423,4,2,Ambedkar Nagar,1424,2,90.0,6320.224719101124,2
424,4,2,Ambedkar Nagar,2225,4,169.0,7595.505617977528,3
425,4,2,Ambedkar Nagar,1862,3,120.0,6444.68313641246,3
426,4,2,Ambedkar Nagar,1850,4,139.0,7513.513513513513,3
427,4,2,Ambedkar Nagar,1936,4,126.0,6508.264462809917,3
428,4,2,Ambedkar Nagar,1862,3,119.0,6390.977443609023,3
429,4,2,Ambedkar Nagar,1424,2,90.0,6320.224719101124,2
430,4,2,Ambedkar Nagar,2150,4,125.0,5813.953488372093,3
431,3,2,Ambedkar Nagar,3530,4,290.0,8215.297450424929,4
432,4,2,Ambedkar Nagar,1856,3,120.0,6465.517241379311,3
433,4,2,Ambedkar Nagar,1852,3,130.0,7019.438444924406,3
434,4,2,Ambedkar Nagar,1850,4,120.0,6486.486486486487,3
435,4,2,Ambedkar Nagar,1367,2,86.0,6291.148500365764,2
436,1,1,Ambedkar Nagar,3565,4,255.0,7152.875175315568,4
437,4,2,Ambedkar Nagar,1409,2,95.0,6742.370475514549,2
438,4,2,Ambedkar Nagar,1950,4,120.0,6153.846153846154,3
439,4,2,Ambedkar Nagar,1921,4,129.0,6715.252472670484,3
440,4,2,Ambedkar Nagar,1920,4,121.0,6302.083333333333,3
441,4,2,Ambedkar Nagar,1935,4,125.0,6459.948320413437,3
442,4,2,Ambedkar Nagar,1852,4,122.0,6587.473002159827,3
443,4,2,Ambedkar Nagar,1950,4,120.0,6153.846153846154,3
444,4,2,Ambedkar Nagar,1852,3,125.0,6749.460043196545,3
445,4,2,Ambedkar Nagar,1850,4,121.0,6540.540540540541,3
446,4,2,Ambedkar Nagar,1425,2,94.0,6596.491228070176,2
447,3,2,Ambedkar Nagar,2395,4,150.0,6263.048016701461,3
448,4,2,Amruthahalli,900,2,40.0,4444.444444444444,2
449,4,2,Amruthahalli,1200,2,55.0,4583.333333333333,2
450,3,2,Amruthahalli,1900,3,135.0,7105.263157894737,3
451,3,2,Amruthahalli,924,2,45.0,4870.12987012987,2
452,2,2,Amruthahalli,900,2,60.0,6666.666666666667,2
